masoom,start,end,startLabel,endLabel,burial,timeline,age
Rasulallah,570,632,,,Medina,Origin,62
Syeda Fatima Zehra,615,632,,,Medina,Khulafah,17
Ali ibn Abi Talib,600,661,,,Najaf,Khulafah,61
Hasan al Mujtaba,625,670,,,Medina,Bani Ummayah,45
Husayn ibn Ali,626,680,,,Karbala,Bani Ummayah,54
Zayn ul Abideen,658,712,,,Medina,Bani Ummayah,54
Muhammad Baqir,677,732,,,Medina,Bani Ummayah,55
Jafar e Sadiq,702,765,,,Medina,Bani Abbas,63
Musa al Kazim,744,799,,,Kazmain,Bani Abbas,55
Ali Raza,765,817,,,Mashad,Bani Abbas,52
Taqi al Jawad,810,835,,,Kazmain,Bani Abbas,25
Ali un Naqi,827,868,,,Samarra,Bani Abbas,41
Hasan al Askari,846,874,,,Samarra,Bani Abbas,28
Hujjat ul Qayam,869,873,,,ٱلْغَيْبَة ٱلْكُبْرَىٰ,,4
